time,taker_buy_vol,taker_sell_vol,cum_vol_delta
1778976000000,4165069.9607,6295108.9999,-1163977808.1927
1778979600000,10227574.5534,10671108.6591,-1164421342.2984
1778983200000,4761831.3185,3509970.7297,-1163169481.7096
1778986800000,5140973.0023,3796873.7799,-1161825382.4872
1778990400000,7355317.265,4905740.2987,-1159375805.5209
1778994000000,6820856.504,3828131.9024,-1156383080.9193
1778997600000,3277698.8975,4980534.8294,-1158085916.8512
1779001200000,3075084.6574,3592673.7657,-1158603505.9595
1779004800000,3291699.0695,2461223.8936,-1157773030.7836
1779008400000,3144558.9658,3179075.6578,-1157807547.4756
1779012000000,7367975.0207,4957791.0641,-1155397363.519
1779015600000,4115046.6844,5640914.0343,-1156923230.8689
1779019200000,3514910.8397,5186111.674,-1158594431.7032
1779022800000,4464544.9191,6107489.6265,-1160237376.4106
1779026400000,5927457.1346,8828487.3339,-1163138406.6099
1779030000000,3632249.4275,3669843.0821,-1163176000.2645
1779033600000,2886176.5212,3293510.6286,-1163583334.3719
1779037200000,4917516.2065,4435218.5715,-1163101036.7369
1779040800000,3251163.8691,2737127.0357,-1162586999.9035
1779044400000,3248769.8501,2250250.6939,-1161588480.7473
1779048000000,2763396.4077,2612580.571,-1161437664.9106
1779051600000,3082804.8831,1958917.9161,-1160313777.9436
1779055200000,9729701.8105,14351431.8248,-1164935507.9579
1779058800000,71073733.8202,84091259.4671,-1177953033.6048
1779062400000,26705216.8068,44069485.0891,-1195317301.8871
1779066000000,14824459.7137,19705186.6471,-1200198028.8205
1779069600000,9076189.375,10357984.9362,-1201479824.3817
1779073200000,8062240.6625,8842483.5187,-1202260067.2379
1779076800000,6024898.4856,8464295.6576,-1204699464.4099
1779080400000,5437602.5064,8256763.5897,-1207518625.4932
1779084000000,1805712.4215,1420844.3766,-1207133757.4483
1779087600000,12725810.0775,8034381.9676,-1202442329.3384
1779091200000,6629517.9376,6794873.2656,-1202607684.6664
1779094800000,4350507.1036,4678503.0947,-1202935680.6575
1779098400000,6086203.2797,7314091.3133,-1204163568.6911
1779102000000,19636887.6036,14207891.5958,-1198734572.6833
1779105600000,27889880.3671,27139894.7293,-1197984587.0455
1779109200000,22642302.2977,31091304.1773,-1206433588.9251
1779112800000,30054406.2558,36867022.786,-1213246205.4553
1779116400000,30512444.2704,35233042.3084,-1217966803.4933
1779120000000,16628766.6087,21712330.2442,-1223050367.1288
1779123600000,10525605.1166,11505789.123,-1224030551.1352
1779127200000,30805876.7676,31027291.8332,-1224251966.2008
1779130800000,41580418.1954,32861600.0149,-1215533148.0203
1779134400000,10942296.594,11608971.9658,-1216199823.3921
1779138000000,19142767.5581,11390199.9918,-1208447255.8258
1779141600000,13939193.6192,12316434.933,-1206824497.1396
1779145200000,6795059.3561,4746091.6589,-1204775529.4424
1779148800000,10095702.8265,6475225.7961,-1201155052.412
1779152400000,9543499.4945,8046548.9253,-1199658101.8428
1779156000000,8228775.3524,8029880.2637,-1199459206.7541
1779159600000,5814223.1011,4850387.5822,-1198495371.2352
1779163200000,5171320.0994,4700367.6603,-1198024418.7961
1779166800000,7631574.6358,8115091.9996,-1198507936.1599
1779170400000,6000479.1485,5843219.887,-1198350676.8984
1779174000000,8751453.3012,6477544.0987,-1196076767.6959
1779177600000,7542676.5617,7568720.0466,-1196102811.1808
1779181200000,9566557.9797,16069833.5384,-1202606086.7395
1779184800000,7816990.0969,14177202.2545,-1208966298.8971
1779188400000,4024918.1467,7652865.088,-1212594245.8384
1779192000000,5603254.6837,6713701.4154,-1213704692.5701
1779195600000,16673940.2056,20813767.8528,-1217844520.2173
1779199200000,19394038.7975,30569759.9789,-1229020241.3987
1779202800000,9542571.6384,8677548.8893,-1228155218.6496
1779206400000,8337867.28,6133647.1855,-1225950998.5551
1779210000000,6102578.1236,7406607.1462,-1227255027.5777
1779213600000,5153636.8352,5464645.9409,-1227566036.6834
1779217200000,5346666.8677,8271263.0035,-1230490632.8192
1779220800000,1814307.0825,3185249.4412,-1231861575.1779
1779224400000,2713198.3223,4521871.0392,-1233670247.8948
1779228000000,6128587.5216,9009922.6509,-1236551583.0241
1779231600000,5582136.1574,4982510.059,-1235951956.9257
1779235200000,6272476.2532,6340150.3708,-1236019631.0433
1779238800000,7792958.8251,6935864.1658,-1235162536.384
1779242400000,2962097.292,3782502.4582,-1235982941.5502
1779246000000,3534157.7982,3141223.6625,-1235590007.4145
1779249600000,3010862.1441,5141070.4321,-1237720215.7025
1779253200000,19307034.1582,10862749.6778,-1229275931.2221
1779256800000,9018183.6324,12379042.1235,-1232636789.7132
1779260400000,6495023.4204,8411795.1351,-1234553561.4279
1779264000000,8297443.0125,9013764.9835,-1235269883.3989
1779267600000,4807263.9023,4432331.177,-1234894950.6736
1779271200000,6198039.3933,4056336.7607,-1232753248.041
1779274800000,4490171.8872,5987333.7598,-1234250409.9136
1779278400000,6692824.4373,5766299.9677,-1233323885.444
1779282000000,12704054.3706,22143039.3572,-1242762870.4306
1779285600000,21410304.156,20165986.8363,-1241518553.1109
1779289200000,18186521.0654,18524124.0986,-1241856156.1441
1779292800000,9436207.4444,10484726.6471,-1242904675.3468
1779296400000,12604498.7544,10482704.1929,-1240782880.7853
1779300000000,5586046.8662,7282853.328,-1242479687.2471
1779303600000,7660441.3459,5190431.9478,-1240009677.849
1779307200000,4666451.7501,5923293.9877,-1241266520.0866
1779310800000,2683283.5083,3817825.2592,-1242401061.8375
1779314400000,11454330.322,9124282.2695,-1240071013.785
1779318000000,4681853.3057,3205578.0944,-1238594738.5737
1779321600000,9872026.4348,6470056.9558,-1235192769.0947
1779325200000,13268822.6416,12123813.225,-1234047759.6781
1779328800000,5810585.0223,4414973.8796,-1232652148.5354
1779332400000,4070709.8314,3485433.9416,-1232066872.6456
1779336000000,4025258.8217,3597265.7343,-1231638879.5582
1779339600000,4140751.2922,9324234.9998,-1236822363.2658
1779343200000,6769779.9073,11570175.9928,-1241622759.3513
1779346800000,10229545.6806,8360482.0197,-1239753695.6904
1779350400000,9153840.0719,8577419.0053,-1239177274.6238
1779354000000,5484108.0707,8557898.6996,-1242251065.2527
1779357600000,18670042.4227,21813691.7932,-1245394714.6232
1779361200000,10074457.9951,6220913.7923,-1241541170.4204
1779364800000,16828532.5803,7845084.1237,-1232557721.9638
1779368400000,18370948.6834,19902471.9697,-1234089245.2501
1779372000000,16388269.1615,15227872.8709,-1232928848.9595
1779375600000,25240858.93,19908263.5042,-1227596253.5337
1779379200000,10033128.8988,11462662.0222,-1229025786.6571
1779382800000,25724106.221,23957955.2016,-1227259635.6377
1779386400000,10813515.0866,17540810.2966,-1233986930.8477
1779390000000,12994547.7252,7133934.2375,-1228126317.36
1779393600000,6675631.514,4904111.1466,-1226354796.9926
1779397200000,2117816.0271,2857940.9033,-1227094921.8688
1779400800000,2589588.5604,3275494.4507,-1227780827.7591
1779404400000,4170653.7044,4273479.0393,-1227883653.094
1779408000000,3068942.1468,3004415.2844,-1227819126.2316
1779411600000,5220356.8349,5335677.3018,-1227934446.6985
1779415200000,4250909.2791,4081748.3287,-1227765285.7481
1779418800000,3015529.2755,1983447.8082,-1226733204.2808
1779422400000,1757429.5998,3359701.0679,-1228335475.7489
1779426000000,3791108.9072,5684017.0202,-1230228383.8619
1779429600000,7630888.3734,7614637.7576,-1230212133.2461
1779433200000,12279093.7684,7801066.7649,-1225734106.2426
1779436800000,13979567.9241,17885351.1518,-1229639889.4703
1779440400000,7969211.2643,4065717.1838,-1225736395.3898
1779444000000,3271765.4938,3130219.8371,-1225594849.7331
1779447600000,10049366.1764,5180472.2971,-1220725955.8538
1779451200000,9799519.1732,6425464.5172,-1217351901.1978
1779454800000,13650307.7524,11794341.5692,-1215495935.0146
1779458400000,19507860.2231,14105907.3748,-1210093982.1663
1779462000000,7442176.869,7376322.2458,-1210028127.5431
1779465600000,5491457.9958,5377553.3269,-1209914222.8742
1779469200000,7110041.0098,9671586.1046,-1212475767.969
1779472800000,17243780.7971,27532656.3875,-1222764643.5594
1779476400000,35794098.6137,41329690.5841,-1228300235.5298
1779480000000,13925547.5991,12895532.7631,-1227270220.6938
1779483600000,6496472.9751,5903733.925,-1226677481.6437
1779487200000,8002191.9282,9689116.3478,-1228364406.0633
1779490800000,11000844.6387,14040407.0832,-1231403968.5078
1779494400000,19608153.0026,25065057.1583,-1236860872.6635
1779498000000,6792560.7866,6851499.2392,-1236919811.1161
1779501600000,4130835.4308,3308851.2326,-1236097826.9179
1779505200000,4062191.4966,3850375.2777,-1235886010.699
1779508800000,2524872.2023,3089170.9519,-1236450309.4486
1779512400000,8575277.6746,8233411.2154,-1236108442.9894
1779516000000,7616129.7646,4895234.2202,-1233387547.445
1779519600000,53872340.0528,65785652.2606,-1245300859.6528
1779523200000,17822530.4995,14906297.8122,-1242384626.9655
1779526800000,6468673.8043,4850176.7578,-1240766129.919
1779530400000,6594375.0799,3375724.5528,-1237547479.3919
1779534000000,12097778.2213,3539372.4525,-1228989073.6231
1779537600000,11249009.1654,3383763.6826,-1221123828.1403
1779541200000,22419405.5935,13604421.4649,-1212308844.0117
1779544800000,20661859.9122,13436172.1353,-1205083156.2348
1779548400000,14237596.1859,12804417.1878,-1203649977.2367
1779552000000,7036100.3665,7214256.6362,-1203828133.5064
1779555600000,6583571.5475,4858506.9477,-1202103068.9066
1779559200000,15864979.0303,15067793.4194,-1201305883.2957
1779562800000,13422042.3958,12541178.8404,-1200425019.7403
1779566400000,70237165.2642,56963812.7399,-1187151667.216
1779570000000,34669599.7107,36738483.8499,-1189220551.3552
1779573600000,11249099.618,11742011.7995,-1189713463.5367
1779577200000,7379302.4528,4872607.6533,-1187206768.7372
1779580800000,6175035.7304,4974379.7113,-1186006112.7181
1779584400000,9290940.1,7323436.1003,-1184038608.7184
1779588000000,10355176.6602,8729335.4104,-1182412767.4686
1779591600000,7365785.5795,7518977.6905,-1182565959.5796
1779595200000,3496331.7494,3648352.8399,-1182717980.6701
1779598800000,6829937.9385,10665416.9006,-1186553459.6322
1779602400000,13125237.3448,11927226.5376,-1185355448.825
1779606000000,4401815.5797,6268433.11,-1187222066.3553
1779609600000,3357410.1224,3561901.9184,-1187426558.1513
1779613200000,4594383.9529,5231961.5131,-1188064135.7115
1779616800000,8698067.3513,8561532.2371,-1187927600.5973
1779620400000,5267232.6206,5274576.9457,-1187934944.9224
