time,agg_taker_buy_vol,agg_taker_sell_vol,cum_vol_delta
1778101200000,12794728.7211,24305591.8312,-326128521.4403
1778104800000,10261569.7255,20516427.5049,-336383379.2197
1778108400000,14688203.8223,26291920.7566,-347987096.154
1778112000000,16085320.2133,41678964.237,-373580740.1777
1778115600000,30745477.1663,45685140.2832,-388520403.2946
1778119200000,32190364.9441,41108480.4474,-397438518.7979
1778122800000,19582070.5331,20780576.61,-398637024.8748
1778126400000,15430135.003,17294438.5727,-400501328.4445
1778130000000,16670094.0455,20933814.811,-404765049.21
1778133600000,24271930.1907,28780363.4942,-409273482.5135
1778137200000,28862954.0865,33032649.2374,-413443177.6644
1778140800000,23733497.3578,29139920.9898,-418849601.2964
1778144400000,18215759.8316,28755732.0218,-429389573.4866
1778148000000,17550033.8276,28750974.2101,-440590513.8691
1778151600000,15341280.922,21891347.9689,-447140580.916
1778155200000,21464134.8648,24296730.3933,-449973176.4445
1778158800000,57725846.3084,82606825.4729,-474854155.609
1778162400000,75954320.4049,108291650.1152,-507191485.3193
1778166000000,45022307.0166,59680283.116,-521849461.4187
1778169600000,32410229.7573,50940488.557,-540379720.2184
1778173200000,34616405.053,56746152.9147,-562509468.0801
1778176800000,30241374.6928,45668517.4229,-577936610.8102
1778180400000,24474622.6004,39481434.8073,-592943423.0171
1778184000000,28976289.8159,85490046.8824,-649457180.0836
1778187600000,20780052.7559,33401916.6797,-662079044.0074
1778191200000,23463554.8021,37937743.3618,-676553232.5671
1778194800000,11795113.5692,17825578.4605,-682583697.4584
1778198400000,12963085.4082,22357239.2143,-691977851.2645
1778202000000,13423726.3811,20029413.539,-698583538.4224
1778205600000,28608511.9518,40929225.2805,-710904251.7511
1778209200000,22347091.7621,35034178.4088,-723591338.3978
1778212800000,12888493.2387,20026654.5887,-730729499.7478
1778216400000,11162303.6294,25769026.3205,-745336222.4389
1778220000000,22993235.645,57992758.8528,-780335745.6467
1778223600000,49376577.4481,31050435.3823,-762009603.5809
1778227200000,29958025.5936,31130282.883,-763181860.8703
1778230800000,23567563.3179,26164726.8982,-765779024.4506
1778234400000,24793304.8282,20579970.0527,-761565689.6751
1778238000000,37569126.2003,20084071.5863,-744080635.0611
1778241600000,24251946.5652,34287334.7061,-754116023.202
1778245200000,37139000.0919,50151551.4303,-767128574.5404
1778248800000,35962429.3479,44747377.8276,-775913523.0201
1778252400000,22704238.1532,28837871.6733,-782047156.5402
1778256000000,19986066.3943,25410667.4952,-787471757.6411
1778259600000,42874144.0089,54054812.8505,-798652426.4827
1778263200000,40411786.9502,46468980.9299,-804709620.4624
1778266800000,22709220.8446,43238465.2647,-825238864.8825
1778270400000,15759160.3314,55799898.6665,-865279603.2176
1778274000000,14929581.708,27684577.8458,-878034599.3554
1778277600000,11877123.8496,26713797.7351,-892871273.2409
1778281200000,9082800.9117,26774378.6745,-910562851.0037
1778284800000,10943625.2625,23286585.9353,-922905811.6765
1778288400000,15632061.3641,23794872.6499,-931068622.9623
1778292000000,13961772.4787,18146678.9103,-935253529.3939
1778295600000,10343800.6056,15580914.8996,-940490643.6879
1778299200000,19882617.9553,60106322.2631,-980714347.9957
1778302800000,8366191.6661,10101429.6607,-982449585.9903
1778306400000,19114708.3388,12210172.1357,-975545049.7872
1778310000000,14848711.4124,14317685.5504,-975014023.9252
1778313600000,15817239.1934,15528508.6675,-974725293.3993
1778317200000,8591926.4212,14990113.4401,-981123480.4182
1778320800000,5040116.2242,10170401.299,-986253765.493
1778324400000,5859760.6966,10729066.8699,-991123071.6663
1778328000000,6366024.3713,9525587.279,-994282634.574
1778331600000,5347176.8778,9993393.1468,-998928850.843
1778335200000,12727250.916,18666175.0064,-1004867774.9334
1778338800000,23175936.8171,23702290.4245,-1005394128.5408
1778342400000,26445013.7547,28157767.3948,-1007106882.1809
1778346000000,42580483.2665,39085815.4652,-1003612214.3796
1778349600000,18232745.8361,23374749.468,-1008754218.0115
1778353200000,14421205.7357,16150620.6991,-1010483632.9749
1778356800000,4774757.8628,11928548.4752,-1017637423.5873
1778360400000,5741877.2363,14116641.0398,-1026012187.3908
1778364000000,7705892.3663,12510772.9376,-1030817067.9621
1778367600000,5942693.6836,13903618.8777,-1038777993.1562
1778371200000,9522629.6091,16353939.1564,-1045609302.7035
1778374800000,10818553.8695,20994268.3863,-1055785017.2203
1778378400000,8162553.6127,13247756.2409,-1060870219.8485
1778382000000,11991056.9808,15758386.6768,-1064637549.5445
1778385600000,7142044.5317,14825984.5213,-1072321489.5341
1778389200000,6802461.5403,12342759.2267,-1077861787.2205
1778392800000,12574148.5263,25553659.3914,-1090841298.0856
1778396400000,8043533.5663,13621430.2165,-1096419194.7358
1778400000000,11137670.9907,15093015.2719,-1100374539.017
1778403600000,8328287.3366,14461275.8089,-1106507527.4893
1778407200000,12096773.4098,22879504.7681,-1117290258.8476
1778410800000,11725415.9358,20431801.8953,-1125996644.8071
1778414400000,8941355.1671,12953134.0839,-1130008423.7239
1778418000000,16267901.4428,21684131.0382,-1135424653.3193
1778421600000,14360764.3076,23248349.7966,-1144312238.8083
1778425200000,52202900.3127,39299406.0115,-1131408744.5071
1778428800000,37384232.1917,26740826.2733,-1120765338.5887
1778432400000,271126342.6429,66640113.4108,-916279109.3566
1778436000000,19331158.2835,24740043.7406,-921687994.8137
1778439600000,23667458.8069,20805035.3338,-918825571.3406
1778443200000,48588370.7087,75547330.7315,-945784531.3634
1778446800000,26379302.5863,30023678.3726,-949428907.1497
1778450400000,72772183.1124,63806351.0514,-940463075.0887
1778454000000,48422833.5137,48707676.8627,-940747918.4377
1778457600000,32009543.6651,50848630.9622,-959587005.7348
1778461200000,19644610.1535,18346831.0313,-958289226.6126
1778464800000,14128646.6332,21811457.4642,-965972037.4436
1778468400000,36352913.7321,53407666.3742,-983026790.0857
1778472000000,17299687.851,18973984.7635,-984701086.9982
1778475600000,15720208.3796,16573967.8291,-985554846.4477
1778479200000,12965584.9518,19721845.134,-992311106.6299
1778482800000,7563478.2861,11656370.6826,-996403999.0264
1778486400000,14473139.8564,14978956.1873,-996909815.3573
1778490000000,8415127.9229,7286777.8748,-995781465.3092
1778493600000,8833032.4611,11173487.214,-998121920.0621
1778497200000,7314236.765,10578990.8982,-1001386674.1953
1778500800000,29232735.85,33300139.679,-1005454078.0243
1778504400000,50013409.0414,61619163.64,-1017059832.6229
1778508000000,54911889.1307,62760314.3127,-1024908257.8049
1778511600000,33336215.2664,33191666.2863,-1024763708.8248
1778515200000,34348262.9872,43269323.7469,-1033684769.5845
1778518800000,18336741.4291,20232514.5272,-1035580542.6826
1778522400000,17918516.3628,22157443.5239,-1039819469.8437
1778526000000,12447317.3723,14983323.5882,-1042355476.0596
1778529600000,13231830.8591,18481364.9838,-1047605010.1843
1778533200000,9729912.2534,9227203.1998,-1047102301.1307
1778536800000,11053796.1879,9474500.0785,-1045523005.0213
1778540400000,6610977.4823,6579599.0424,-1045491626.5814
1778544000000,10156210.033,9975435.917,-1045310852.4654
1778547600000,44837895.6894,58728175.96,-1059201132.736
1778551200000,16776843.3001,14784286.174,-1057208575.6099
1778554800000,8451685.1696,12328389.9031,-1061085280.3434
1778558400000,8901368.2995,11805078.5365,-1063988990.5804
1778562000000,8207618.962,14317408.6761,-1070098780.2945
1778565600000,12523659.7207,19222888.6944,-1076798009.2682
1778569200000,37483956.1829,54324411.0522,-1093638464.1375
1778572800000,45544855.46,48844237.1865,-1096937845.864
1778576400000,23770477.9045,20828221.4971,-1093995589.4566
1778580000000,17394078.9031,26389616.164,-1102991126.7175
1778583600000,22413006.3335,26798302.1798,-1107376422.5638
1778587200000,31298469.9249,34244933.9263,-1110322886.5652
1778590800000,43318112.2994,59984626.6445,-1126989400.9103
1778594400000,50759900.8466,53926680.8586,-1130156180.9223
1778598000000,44151193.4195,54625211.6726,-1140630199.1754
1778601600000,27519733.9761,30746885.9063,-1143857351.1056
1778605200000,20138140.5315,18287765.9404,-1142006976.5145
1778608800000,19661408.4984,18478868.9008,-1140824436.9169
1778612400000,25050263.7933,25218171.0052,-1140992344.1288
1778616000000,17782128.3933,24294546.5894,-1147504762.3249
1778619600000,16030931.7552,17209498.1489,-1148683328.7186
1778623200000,14256645.2642,16310742.7537,-1150737426.2081
1778626800000,8291650.6776,15930770.0574,-1158376545.5879
1778630400000,9953693.4127,10904692.168,-1159327544.3432
1778634000000,17731488.2841,15459668.4567,-1157055724.5158
1778637600000,14170575.4864,14268905.7088,-1157154054.7382
1778641200000,13662982.1475,12010356.0214,-1155501428.6121
1778644800000,12129728.6367,11086566.1463,-1154458266.1217
1778648400000,7456691.9987,15587696.3516,-1162589270.4746
1778652000000,9661537.0374,8211083.2887,-1161138816.7259
1778655600000,7703849.911,9116571.3898,-1162551538.2047
1778659200000,35036803.0738,28657827.7152,-1156172562.8461
1778662800000,32391268.8987,28424694.2816,-1152205988.229
1778666400000,15096896.8153,20572779.4986,-1157681870.9123
1778670000000,22525876.0022,18917091.6697,-1154073086.5798
1778673600000,40167137.0437,52832295.6723,-1166738245.2084
1778677200000,47208261.639,56698485.557,-1176228469.1264
1778680800000,45167507.5407,47000144.8243,-1178061106.41
1778684400000,51944360.2472,77672403.055,-1203789149.2178
1778688000000,42981046.4483,37965096.6301,-1198773199.3996
1778691600000,15880344.2316,19366982.151,-1202259837.319
1778695200000,21784599.9371,20372081.8885,-1200847319.2704
1778698800000,10005993.7181,15296276.0207,-1206137601.573
1778702400000,8340271.1885,7634067.3068,-1205431397.6913
1778706000000,5423623.0431,8845619.7785,-1208853394.4267
1778709600000,7591661.4349,9412235.7207,-1210673968.7125
1778713200000,6403153.1558,8450070.8451,-1212720886.4018
1778716800000,13852688.2942,11483323.9254,-1210351522.033
1778720400000,7688400.0765,11130045.8031,-1213793167.7596
1778724000000,16673451.1695,33722265.3893,-1230841981.9794
1778727600000,18813987.1122,27738763.9231,-1239766758.7903
1778731200000,13725696.6243,9896577.2113,-1235937639.3773
1778734800000,22228253.4436,15938439.1221,-1229647825.0558
1778738400000,17909206.1367,20634656.0001,-1232373274.9192
1778742000000,13715759.3874,11124870.6334,-1229782386.1652
1778745600000,17871923.9966,14975827.2399,-1226886289.4085
1778749200000,13314540.1191,14763889.8974,-1228335639.1868
1778752800000,13182737.6583,13300050.2324,-1228452951.7609
1778756400000,19209867.1889,11449526.2923,-1220692610.8643
1778760000000,14130327.5624,16419622.1156,-1222981905.4175
1778763600000,27971999.464,38980559.5716,-1233990465.5251
1778767200000,58186653.5384,50169987.1482,-1225973799.1349
1778770800000,51571565.0827,49007483.8052,-1223409717.8574
1778774400000,65245729.7366,56232344.7046,-1214396332.8254
1778778000000,41057449.3718,47553175.7528,-1220892059.2064
